global_question_id,global_passage_id,question_id,passage_id,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,question_type,difficulty,manual_review,used_count,level,fixed_question_text
124,510,55,10,Where does most of the story 'The Invisible Line' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,2,FALSE,0,5,Where does most of the story 'The Invisible Line' take place?
125,510,56,10,What decision changes the main character’s path in 'The Invisible Line'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,2,FALSE,0,5,What decision changes the main character’s path in 'The Invisible Line'?
126,510,57,10,"In 'The Invisible Line', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,2,FALSE,0,5,"In 'The Invisible Line', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?"
127,510,58,10,Why does the main character act differently near the end of 'The Invisible Line'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,2,FALSE,0,5,Why does the main character act differently near the end of 'The Invisible Line'?
128,510,59,10,What is the central theme of 'The Invisible Line'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,2,FALSE,0,5,What is the central theme of 'The Invisible Line'?
129,510,60,10,How does the author make the ending of 'The Invisible Line' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,2,FALSE,0,5,How does the author make the ending of 'The Invisible Line' powerful?
130,511,61,11,Where does most of the story 'The Debate Club' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,2,FALSE,0,5,Where does most of the story 'The Debate Club' take place?
131,511,62,11,What decision changes the main character’s path in 'The Debate Club'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,2,FALSE,0,5,What decision changes the main character’s path in 'The Debate Club'?
132,511,63,11,"In 'The Debate Club', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,2,FALSE,0,5,"In 'The Debate Club', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?"
133,511,64,11,Why does the main character act differently near the end of 'The Debate Club'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,2,FALSE,0,5,Why does the main character act differently near the end of 'The Debate Club'?
134,511,65,11,What is the central theme of 'The Debate Club'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,2,FALSE,0,5,What is the central theme of 'The Debate Club'?
135,511,66,11,How does the author make the ending of 'The Debate Club' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,2,FALSE,0,5,How does the author make the ending of 'The Debate Club' powerful?
136,512,67,12,Where does most of the story 'The Late Swimmer' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,1,FALSE,0,5,Where does most of the story 'The Late Swimmer' take place?
137,512,68,12,What decision changes the main character’s path in 'The Late Swimmer'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,1,FALSE,0,5,What decision changes the main character’s path in 'The Late Swimmer'?
138,512,69,12,"In 'The Late Swimmer', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,1,FALSE,0,5,"In 'The Late Swimmer', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?"
139,512,70,12,Why does the main character act differently near the end of 'The Late Swimmer'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,1,FALSE,0,5,Why does the main character act differently near the end of 'The Late Swimmer'?
140,512,71,12,What is the central theme of 'The Late Swimmer'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,1,FALSE,0,5,What is the central theme of 'The Late Swimmer'?
141,512,72,12,How does the author make the ending of 'The Late Swimmer' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,1,FALSE,0,5,How does the author make the ending of 'The Late Swimmer' powerful?
142,601,1,1,Which statement best summarizes this passage?,"It explains the dust fields stretched to the horizon, brown waves under.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains the dust fields stretched to the horizon, brown waves under.",Literal,1,FALSE,0,6,", 'What is the main idea of the passage about nan?"
143,601,2,1,Which statement best summarizes this passage?,"It explains the dust fields stretched to the horizon, brown waves under.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains the dust fields stretched to the horizon, brown waves under.",Literal,1,FALSE,0,6,", 'What is the main idea of the passage about nan?"
144,601,3,1,"In 'The Harvest Debt', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,1,FALSE,0,6,"In 'The Harvest Debt', what does a repeated image or object symbolize?"
145,601,4,1,Why does the main character act differently near the end of 'The Harvest Debt'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,1,FALSE,0,6,Why does the main character act differently near the end of 'The Harvest Debt'?
146,601,5,1,What is the best title for this passage?,A Day at the Beach,How to Build a Robot,Why Rules Matter,The Dust fields stretched to the,The Dust fields stretched to the,Literal,1,FALSE,0,6,What is the best title for this passage?
147,601,6,1,How does the author make the ending of 'The Harvest Debt' powerful?,by using imagery and reflection,by adding a twist,by introducing a new character,by ending in a question,by using imagery and reflection,Evaluation,1,FALSE,0,6,How does the author make the ending of 'The Harvest Debt' powerful?
148,602,7,2,What is the main setting of 'The Bridge Shift'?,a river valley,a city,a house,a tower,a city,Literal,1,FALSE,0,6,What is the main setting of 'The Bridge Shift'?
149,602,8,2,What action changes the direction of events in 'The Bridge Shift'?,a brave decision,an accident,a lie told by a friend,a letter found,a brave decision,Detail,1,FALSE,0,6,What action changes the direction of events in 'The Bridge Shift'?
150,602,9,2,"In 'The Bridge Shift', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,1,FALSE,0,6,"In 'The Bridge Shift', what does a repeated image or object symbolize?"
151,602,10,2,Why does the main character act differently near the end of 'The Bridge Shift'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,1,FALSE,0,6,Why does the main character act differently near the end of 'The Bridge Shift'?
152,602,11,2,What is the central theme of 'The Bridge Shift'?,freedom and responsibility,luck and chance,technology and control,friendship and humor,freedom and responsibility,Theme,1,FALSE,0,6,What is the central theme of 'The Bridge Shift'?
153,602,12,2,How does the author make the ending of 'The Bridge Shift' powerful?,by using imagery and reflection,by adding a twist,by introducing a new character,by ending in a question,by using imagery and reflection,Evaluation,1,FALSE,0,6,How does the author make the ending of 'The Bridge Shift' powerful?
154,603,13,3,What is the main setting of 'The Last Contract'?,a river valley,a city,a house,a tower,a city,Literal,1,FALSE,0,6,What is the main setting of 'The Last Contract'?
155,603,14,3,What action changes the direction of events in 'The Last Contract'?,a brave decision,an accident,a lie told by a friend,a letter found,a brave decision,Detail,1,FALSE,0,6,What action changes the direction of events in 'The Last Contract'?
156,603,15,3,"In 'The Last Contract', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,1,FALSE,0,6,"In 'The Last Contract', what does a repeated image or object symbolize?"
157,603,16,3,Why does the main character act differently near the end of 'The Last Contract'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,1,FALSE,0,6,Why does the main character act differently near the end of 'The Last Contract'?
158,603,17,3,What is the central theme of 'The Last Contract'?,freedom and responsibility,luck and chance,technology and control,friendship and humor,freedom and responsibility,Theme,1,FALSE,0,6,What is the central theme of 'The Last Contract'?
159,603,18,3,How does the author make the ending of 'The Last Contract' powerful?,by using imagery and reflection,by adding a twist,by introducing a new character,by ending in a question,by using imagery and reflection,Evaluation,1,FALSE,0,6,How does the author make the ending of 'The Last Contract' powerful?
160,604,19,4,What is the main setting of 'The Cage Keeper'?,a river valley,a city,a house,a tower,a city,Literal,1,FALSE,0,6,What is the main setting of 'The Cage Keeper'?
161,604,20,4,What action changes the direction of events in 'The Cage Keeper'?,a brave decision,an accident,a lie told by a friend,a letter found,a brave decision,Detail,1,FALSE,0,6,What action changes the direction of events in 'The Cage Keeper'?
162,604,21,4,"In 'The Cage Keeper', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,1,FALSE,0,6,"In 'The Cage Keeper', what does a repeated image or object symbolize?"
163,604,22,4,Why does the main character act differently near the end of 'The Cage Keeper'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,1,FALSE,0,6,Why does the main character act differently near the end of 'The Cage Keeper'?
164,604,23,4,What is the central theme of 'The Cage Keeper'?,freedom and responsibility,luck and chance,technology and control,friendship and humor,freedom and responsibility,Theme,1,FALSE,0,6,What is the central theme of 'The Cage Keeper'?
165,604,24,4,How does the author make the ending of 'The Cage Keeper' powerful?,by using imagery and reflection,by adding a twist,by introducing a new character,by ending in a question,by using imagery and reflection,Evaluation,1,FALSE,0,6,How does the author make the ending of 'The Cage Keeper' powerful?
166,605,25,5,What is the main setting of 'The Night Market of Hours'?,a river valley,a city,a house,a tower,a city,Literal,2,FALSE,0,6,What is the main setting of 'The Night Market of Hours'?
167,605,26,5,What action changes the direction of events in 'The Night Market of Hours'?,a brave decision,an accident,a lie told by a friend,a letter found,a brave decision,Detail,2,FALSE,0,6,What action changes the direction of events in 'The Night Market of Hours'?
168,605,27,5,"In 'The Night Market of Hours', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,2,FALSE,0,6,"In 'The Night Market of Hours', what does a repeated image or object symbolize?"
169,605,28,5,Why does the main character act differently near the end of 'The Night Market of Hours'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,2,FALSE,0,6,Why does the main character act differently near the end of 'The Night Market of Hours'?
170,605,29,5,What is the central theme of 'The Night Market of Hours'?,freedom and responsibility,luck and chance,technology and control,friendship and humor,freedom and responsibility,Theme,2,FALSE,0,6,What is the central theme of 'The Night Market of Hours'?
171,605,30,5,How does the author make the ending of 'The Night Market of Hours' powerful?,by using imagery and reflection,by adding a twist,by introducing a new character,by ending in a question,by using imagery and reflection,Evaluation,2,FALSE,0,6,How does the author make the ending of 'The Night Market of Hours' powerful?
172,606,31,6,What is the main setting of 'The Archivist of Endings'?,a river valley,a city,a house,a tower,a city,Literal,2,FALSE,0,6,What is the main setting of 'The Archivist of Endings'?
173,606,32,6,What action changes the direction of events in 'The Archivist of Endings'?,a brave decision,an accident,a lie told by a friend,a letter found,a brave decision,Detail,2,FALSE,0,6,What action changes the direction of events in 'The Archivist of Endings'?
174,606,33,6,"In 'The Archivist of Endings', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,2,FALSE,0,6,"In 'The Archivist of Endings', what does a repeated image or object symbolize?"
175,606,34,6,Why does the main character act differently near the end of 'The Archivist of Endings'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,2,FALSE,0,6,Why does the main character act differently near the end of 'The Archivist of Endings'?
176,606,35,6,What is the central theme of 'The Archivist of Endings'?,freedom and responsibility,luck and chance,technology and control,friendship and humor,freedom and responsibility,Theme,2,FALSE,0,6,What is the central theme of 'The Archivist of Endings'?
177,606,36,6,How does the author make the ending of 'The Archivist of Endings' powerful?,by using imagery and reflection,by adding a twist,by introducing a new character,by ending in a question,by using imagery and reflection,Evaluation,2,FALSE,0,6,How does the author make the ending of 'The Archivist of Endings' powerful?
178,607,37,7,What is the main setting of 'The Immortal on the Bench'?,a river valley,a city,a house,a tower,a city,Literal,2,FALSE,0,6,What is the main setting of 'The Immortal on the Bench'?
179,607,38,7,What action changes the direction of events in 'The Immortal on the Bench'?,a brave decision,an accident,a lie told by a friend,a letter found,a brave decision,Detail,2,FALSE,0,6,What action changes the direction of events in 'The Immortal on the Bench'?
180,607,39,7,"In 'The Immortal on the Bench', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,2,FALSE,0,6,"In 'The Immortal on the Bench', what does a repeated image or object symbolize?"
181,607,40,7,Why does the main character act differently near the end of 'The Immortal on the Bench'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,2,FALSE,0,6,Why does the main character act differently near the end of 'The Immortal on the Bench'?
182,607,41,7,What is the central theme of 'The Immortal on the Bench'?,freedom and responsibility,luck and chance,technology and control,friendship and humor,freedom and responsibility,Theme,2,FALSE,0,6,What is the central theme of 'The Immortal on the Bench'?
183,607,42,7,How does the author make the ending of 'The Immortal on the Bench' powerful?,by using imagery and reflection,by adding a twist,by introducing a new character,by ending in a question,by using imagery and reflection,Evaluation,2,FALSE,0,6,How does the author make the ending of 'The Immortal on the Bench' powerful?
184,608,43,8,What is the main setting of 'The House That Refused to End'?,a river valley,a city,a house,a tower,a city,Literal,2,FALSE,0,6,What is the main setting of 'The House That Refused to End'?
185,608,44,8,What action changes the direction of events in 'The House That Refused to End'?,a brave decision,an accident,a lie told by a friend,a letter found,a brave decision,Detail,2,FALSE,0,6,What action changes the direction of events in 'The House That Refused to End'?
186,608,45,8,"In 'The House That Refused to End', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,2,FALSE,0,6,"In 'The House That Refused to End', what does a repeated image or object symbolize?"
187,608,46,8,Why does the main character act differently near the end of 'The House That Refused to End'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,2,FALSE,0,6,Why does the main character act differently near the end of 'The House That Refused to End'?
188,608,47,8,What is the central theme of 'The House That Refused to End'?,freedom and responsibility,luck and chance,technology and control,friendship and humor,freedom and responsibility,Theme,2,FALSE,0,6,What is the central theme of 'The House That Refused to End'?
189,608,48,8,How does the author make the ending of 'The House That Refused to End' powerful?,by using imagery and reflection,by adding a twist,by introducing a new character,by ending in a question,by using imagery and reflection,Evaluation,2,FALSE,0,6,How does the author make the ending of 'The House That Refused to End' powerful?
190,609,49,9,What is the main setting of 'The Glass City'?,a river valley,a city,a house,a tower,a city,Literal,3,FALSE,0,6,What is the main setting of 'The Glass City'?
191,609,50,9,What action changes the direction of events in 'The Glass City'?,a brave decision,an accident,a lie told by a friend,a letter found,a brave decision,Detail,3,FALSE,0,6,What action changes the direction of events in 'The Glass City'?
192,609,51,9,"In 'The Glass City', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,3,FALSE,0,6,"In 'The Glass City', what does a repeated image or object symbolize?"
193,609,52,9,Why does the main character act differently near the end of 'The Glass City'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,3,FALSE,0,6,Why does the main character act differently near the end of 'The Glass City'?
194,609,53,9,What is the central theme of 'The Glass City'?,freedom and responsibility,luck and chance,technology and control,friendship and humor,freedom and responsibility,Theme,3,FALSE,0,6,What is the central theme of 'The Glass City'?
195,609,54,9,How does the author make the ending of 'The Glass City' powerful?,by using imagery and reflection,by adding a twist,by introducing a new character,by ending in a question,by using imagery and reflection,Evaluation,3,FALSE,0,6,How does the author make the ending of 'The Glass City' powerful?
196,610,55,10,What is the main setting of 'The Paper Rebellion'?,a river valley,a city,a house,a tower,a city,Literal,3,FALSE,0,6,What is the main setting of 'The Paper Rebellion'?
197,610,56,10,What action changes the direction of events in 'The Paper Rebellion'?,a brave decision,an accident,a lie told by a friend,a letter found,a brave decision,Detail,3,FALSE,0,6,What action changes the direction of events in 'The Paper Rebellion'?
198,610,57,10,"In 'The Paper Rebellion', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,3,FALSE,0,6,"In 'The Paper Rebellion', what does a repeated image or object symbolize?"
199,610,58,10,Why does the main character act differently near the end of 'The Paper Rebellion'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,3,FALSE,0,6,Why does the main character act differently near the end of 'The Paper Rebellion'?
200,610,59,10,What is the central theme of 'The Paper Rebellion'?,freedom and responsibility,luck and chance,technology and control,friendship and humor,freedom and responsibility,Theme,3,FALSE,0,6,What is the central theme of 'The Paper Rebellion'?
201,610,60,10,How does the author make the ending of 'The Paper Rebellion' powerful?,by using imagery and reflection,by adding a twist,by introducing a new character,by ending in a question,by using imagery and reflection,Evaluation,3,FALSE,0,6,How does the author make the ending of 'The Paper Rebellion' powerful?
202,611,61,11,What is the main setting of 'The Algorithm’s Garden'?,a river valley,a city,a house,a tower,a city,Literal,3,FALSE,0,6,What is the main setting of 'The Algorithm’s Garden'?
203,611,62,11,Which statement best summarizes this passage?,"It explains when the machines began planting trees, humans applauded..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains when the machines began planting trees, humans applauded..",Literal,3,FALSE,0,6,", 'What is the main idea of the passage about nan?"
204,611,63,11,"In 'The Algorithm’s Garden', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,3,FALSE,0,6,"In 'The Algorithm’s Garden', what does a repeated image or object symbolize?"
205,611,64,11,Why does the main character act differently near the end of 'The Algorithm’s Garden'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,3,FALSE,0,6,Why does the main character act differently near the end of 'The Algorithm’s Garden'?
206,611,65,11,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,"When The machines began planting trees,",A Day at the Beach,"When The machines began planting trees,",Literal,3,FALSE,0,6,What is the best title for this passage?
207,611,66,11,How does the author make the ending of 'The Algorithm’s Garden' powerful?,by using imagery and reflection,by adding a twist,by introducing a new character,by ending in a question,by using imagery and reflection,Evaluation,3,FALSE,0,6,How does the author make the ending of 'The Algorithm’s Garden' powerful?
208,612,67,12,What is the main setting of 'The Tower of Silence'?,a river valley,a city,a house,a tower,a city,Literal,3,FALSE,0,6,What is the main setting of 'The Tower of Silence'?
209,612,68,12,What action changes the direction of events in 'The Tower of Silence'?,a brave decision,an accident,a lie told by a friend,a letter found,a brave decision,Detail,3,FALSE,0,6,What action changes the direction of events in 'The Tower of Silence'?
210,612,69,12,"In 'The Tower of Silence', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,3,FALSE,0,6,"In 'The Tower of Silence', what does a repeated image or object symbolize?"
211,612,70,12,Why does the main character act differently near the end of 'The Tower of Silence'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,3,FALSE,0,6,Why does the main character act differently near the end of 'The Tower of Silence'?
212,612,71,12,What is the central theme of 'The Tower of Silence'?,freedom and responsibility,luck and chance,technology and control,friendship and humor,freedom and responsibility,Theme,3,FALSE,0,6,What is the central theme of 'The Tower of Silence'?
213,612,72,12,How does the author make the ending of 'The Tower of Silence' powerful?,by using imagery and reflection,by adding a twist,by introducing a new character,by ending in a question,by using imagery and reflection,Evaluation,3,FALSE,0,6,How does the author make the ending of 'The Tower of Silence' powerful?
214,701,1,1,What is the central idea of 'The Rest Note'?,The text explores balance between emotion and reason.,The text defends technological dominance.,The text argues for the end of tradition.,The text describes a personal failure.,The text explores balance between emotion and reason.,Central Idea,2,FALSE,0,7,What is the central idea of 'The Rest Note'?
215,701,2,1,Which detail best supports the main idea in 'The Rest Note'?,A quote illustrating moral balance,A statistical comparison of costs,A description of a building,A reference to an unrelated event,A quote illustrating moral balance,Evidence,2,FALSE,0,7,Which detail best supports the main idea in 'The Rest Note'?
216,701,3,1,"In 'The Rest Note', the word 'reflection' most nearly means—",serious thought,mirror image,light bounce,criticism,serious thought,Vocabulary,2,FALSE,0,7,"Replace 'reflection' with a word that appears in the passage, or rewrite the question to use passage vocabulary."
217,701,4,1,What can be inferred about the author’s tone in 'The Rest Note'?,balanced and contemplative,sarcastic and dismissive,joyful and nostalgic,coldly scientific,balanced and contemplative,Inference,2,FALSE,0,7,What can be inferred about the author’s tone in 'The Rest Note'?
218,701,5,1,How does the author develop the main argument in 'The Rest Note'?,by contrasting ideals with outcomes,by listing statistics,by mocking opponents,by defining technical terms,by contrasting ideals with outcomes,Structure,2,FALSE,0,7,How does the author develop the main argument in 'The Rest Note'?
219,701,6,1,Which statement best describes the author’s purpose in 'The Rest Note'?,to examine human motivation through abstract analysis,to entertain through humor,to document historical data,to advocate for policy change,to examine human motivation through abstract analysis,Purpose,2,FALSE,0,7,Which statement best describes the author’s purpose in 'The Rest Note'?
220,701,7,1,What is the effect of the imagery used in 'The Rest Note'?,It deepens emotional impact,It distracts from key ideas,It clarifies technical processes,It adds humor,It deepens emotional impact,Style,2,FALSE,0,7,What is the effect of the imagery used in 'The Rest Note'?
221,701,8,1,Which phrase from 'The Rest Note' best supports the answer to the previous question?,a line describing contrast or silence,a line about weather,a figure of speech unrelated to theme,a numerical fact,a line describing contrast or silence,Evidence,2,FALSE,0,7,Which phrase from 'The Rest Note' best supports the answer to the previous question?
222,701,9,1,"Based on 'The Rest Note', which assumption does the author challenge?",that progress is always positive,that emotion is superior to reason,that art is obsolete,that science is flawless,that progress is always positive,Inference,2,FALSE,0,7,"Based on 'The Rest Note', which assumption does the author challenge?"
223,701,10,1,What is the tone of the concluding paragraph in 'The Rest Note'?,resigned yet hopeful,angry and urgent,indifferent,sarcastic,resigned yet hopeful,Tone,2,FALSE,0,7,What is the tone of the concluding paragraph in 'The Rest Note'?
224,701,11,1,What rhetorical device is most evident in 'The Rest Note'?,contrast,metaphor,hyperbole,irony,metaphor,Rhetoric,2,FALSE,0,7,What rhetorical device is most evident in 'The Rest Note'?
225,701,12,1,What evidence would most strengthen the author’s argument in 'The Rest Note'?,data illustrating long-term impact,an emotional anecdote,a list of names,a historical coincidence,data illustrating long-term impact,Synthesis,2,FALSE,0,7,What evidence would most strengthen the author’s argument in 'The Rest Note'?
226,701,13,1,Which choice best describes how paragraph 3 functions in 'The Rest Note'?,It transitions from example to interpretation,It provides comic relief,It shifts focus to unrelated data,It summarizes all prior claims,It transitions from example to interpretation,Function,2,FALSE,0,7,Which choice best describes how paragraph 3 functions in 'The Rest Note'?
227,701,14,1,"According to 'The Rest Note', what broader principle can be drawn?","Ethical insight arises from reflection, not haste",Power inevitably corrupts systems,Beauty guarantees truth,Failure defines genius,"Ethical insight arises from reflection, not haste",Theme,2,FALSE,0,7,"According to 'The Rest Note', what broader principle can be drawn?"
228,701,15,1,How does the author’s conclusion in 'The Rest Note' relate to the introduction?,It resolves initial tension by redefining success,It contradicts the original claim,It leaves the issue unanswered,It changes topic entirely,It resolves initial tension by redefining success,Evaluation,2,FALSE,0,7,How does the author’s conclusion in 'The Rest Note' relate to the introduction?
229,702,16,2,"What is the central idea of 'The Republic of Letters, Revisited'?",The text explores balance between emotion and reason.,The text defends technological dominance.,The text argues for the end of tradition.,The text describes a personal failure.,The text explores balance between emotion and reason.,Central Idea,3,FALSE,0,7,"What is the central idea of 'The Republic of Letters, Revisited'?"
230,702,17,2,"Which detail best supports the main idea in 'The Republic of Letters, Revisited'?",A quote illustrating moral balance,A statistical comparison of costs,A description of a building,A reference to an unrelated event,A quote illustrating moral balance,Evidence,3,FALSE,0,7,"Which detail best supports the main idea in 'The Republic of Letters, Revisited'?"
231,702,18,2,"In 'The Republic of Letters, Revisited', the word 'reflection' most nearly means—",serious thought,mirror image,light bounce,criticism,serious thought,Vocabulary,3,FALSE,0,7,"Replace 'reflection' with a word that appears in the passage, or rewrite the question to use passage vocabulary."
232,702,19,2,"What can be inferred about the author’s tone in 'The Republic of Letters, Revisited'?",balanced and contemplative,sarcastic and dismissive,joyful and nostalgic,coldly scientific,balanced and contemplative,Inference,3,FALSE,0,7,"What can be inferred about the author’s tone in 'The Republic of Letters, Revisited'?"
233,702,20,2,"How does the author develop the main argument in 'The Republic of Letters, Revisited'?",by contrasting ideals with outcomes,by listing statistics,by mocking opponents,by defining technical terms,by contrasting ideals with outcomes,Structure,3,FALSE,0,7,"How does the author develop the main argument in 'The Republic of Letters, Revisited'?"
234,702,21,2,"Which statement best describes the author’s purpose in 'The Republic of Letters, Revisited'?",to examine human motivation through abstract analysis,to entertain through humor,to document historical data,to advocate for policy change,to examine human motivation through abstract analysis,Purpose,3,FALSE,0,7,"Which statement best describes the author’s purpose in 'The Republic of Letters, Revisited'?"
235,702,22,2,"What is the effect of the imagery used in 'The Republic of Letters, Revisited'?",It deepens emotional impact,It distracts from key ideas,It clarifies technical processes,It adds humor,It deepens emotional impact,Style,3,FALSE,0,7,"What is the effect of the imagery used in 'The Republic of Letters, Revisited'?"
236,702,23,2,"Which phrase from 'The Republic of Letters, Revisited' best supports the answer to the previous question?",a line describing contrast or silence,a line about weather,a figure of speech unrelated to theme,a numerical fact,a line describing contrast or silence,Evidence,3,FALSE,0,7,"Which phrase from 'The Republic of Letters, Revisited' best supports the answer to the previous question?"
237,702,24,2,"Based on 'The Republic of Letters, Revisited', which assumption does the author challenge?",that progress is always positive,that emotion is superior to reason,that art is obsolete,that science is flawless,that progress is always positive,Inference,3,FALSE,0,7,"Based on 'The Republic of Letters, Revisited', which assumption does the author challenge?"
238,702,25,2,"What is the tone of the concluding paragraph in 'The Republic of Letters, Revisited'?",resigned yet hopeful,angry and urgent,indifferent,sarcastic,resigned yet hopeful,Tone,3,FALSE,0,7,"What is the tone of the concluding paragraph in 'The Republic of Letters, Revisited'?"
239,702,26,2,"What rhetorical device is most evident in 'The Republic of Letters, Revisited'?",contrast,metaphor,hyperbole,irony,metaphor,Rhetoric,3,FALSE,0,7,"What rhetorical device is most evident in 'The Republic of Letters, Revisited'?"
240,702,27,2,"What evidence would most strengthen the author’s argument in 'The Republic of Letters, Revisited'?",data illustrating long-term impact,an emotional anecdote,a list of names,a historical coincidence,data illustrating long-term impact,Synthesis,3,FALSE,0,7,"What evidence would most strengthen the author’s argument in 'The Republic of Letters, Revisited'?"
241,702,28,2,"Which choice best describes how paragraph 3 functions in 'The Republic of Letters, Revisited'?",It transitions from example to interpretation,It provides comic relief,It shifts focus to unrelated data,It summarizes all prior claims,It transitions from example to interpretation,Function,3,FALSE,0,7,"Which choice best describes how paragraph 3 functions in 'The Republic of Letters, Revisited'?"
242,702,29,2,"According to 'The Republic of Letters, Revisited', what broader principle can be drawn?","Ethical insight arises from reflection, not haste",Power inevitably corrupts systems,Beauty guarantees truth,Failure defines genius,"Ethical insight arises from reflection, not haste",Theme,3,FALSE,0,7,"According to 'The Republic of Letters, Revisited', what broader principle can be drawn?"
243,702,30,2,"How does the author’s conclusion in 'The Republic of Letters, Revisited' relate to the introduction?",It resolves initial tension by redefining success,It contradicts the original claim,It leaves the issue unanswered,It changes topic entirely,It resolves initial tension by redefining success,Evaluation,3,FALSE,0,7,"How does the author’s conclusion in 'The Republic of Letters, Revisited' relate to the introduction?"
244,703,31,3,What is the central idea of 'The Map of an Unseen Forest'?,The text explores balance between emotion and reason.,The text defends technological dominance.,The text argues for the end of tradition.,The text describes a personal failure.,The text explores balance between emotion and reason.,Central Idea,2,FALSE,0,7,What is the central idea of 'The Map of an Unseen Forest'?
245,703,32,3,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,Deep Beneath the canopy of the,A Day at the Beach,Deep Beneath the canopy of the,Literal,2,FALSE,0,7,What is the best title for this passage?
246,703,33,3,"In 'The Map of an Unseen Forest', the word 'reflection' most nearly means—",serious thought,mirror image,light bounce,criticism,serious thought,Vocabulary,2,FALSE,0,7,"Replace 'reflection' with a word that appears in the passage, or rewrite the question to use passage vocabulary."
247,703,34,3,What can be inferred about the author’s tone in 'The Map of an Unseen Forest'?,balanced and contemplative,sarcastic and dismissive,joyful and nostalgic,coldly scientific,balanced and contemplative,Inference,2,FALSE,0,7,What can be inferred about the author’s tone in 'The Map of an Unseen Forest'?
